Pop,Luis Miguel,Hoy El Aire Huele A Ti,-8.428,145.69,224.49587
Pop,Luis Miguel,Devuelveme el amor,-9.329,140.126,245.49832
Pop,Luis Miguel,Ese Momento,-9.637,144.065,229.19791
Pop,Luis Miguel,No Me Fio,-7.535,154.137,225.33179
Pop,Luis Miguel,Amarte Es Un Placer,-10.245,88.558,211.74812
Pop,Luis Miguel,No S茅 T煤,-9.112,152.756,229.85098
Pop,Luis Miguel,Pensar En Ti,-9.673,129.876,257.38404
Pop,Luis Miguel,Hasta El Fin,-10.748,130.041,290.06322
Pop,Luis Miguel,Soy Un Perdedor,-11.006,177.265,251.66322
Pop,Luis Miguel,El Primero,-14.633,125.157,194.24608
Pop,Luis Miguel,Se amaban (Album),-8.165,155.737,253.20444
Pop,Luis Miguel,Amor a mares (Album),-7.039,70.032,281.75628
Pop,Luis Miguel,Amor de hecho (Album),-6.667,157.917,263.44444
Pop,Luis Miguel,De nuevo el paraiso (Album),-5.065,191.835,266.762
Pop,Luis Miguel,Te desean (Album),-6.952,140.439,266.55302
Pop,Luis Miguel,El Rey,-8.342,98.195,141.60934
Pop,Luis Miguel,La Media Vuelta,-6.47,98.006,164.38812
Pop,Luis Miguel,Amaneci Entre Tus Brazos,-11.056,101.224,150.59546
Pop,Luis Miguel,Misterios Del Amor,-4.572,137.766,237.97506
Pop,Luis Miguel,America_ America,-8.386,96.92,273.37098
Pop,Luis Miguel,Fria Como El Viento,-13.686,131.994,235.10159
Pop,Luis Miguel,O Tu  O Ninguna,-9.121,145.941,196.33587
Pop,Luis Miguel,La Media Vuelta,-9.53,182.095,161.04444
Pop,Luis Miguel,Amor_ Amor_ Amor,-5.77,147.742,222.30159
Pop,Luis Miguel,Motivos,-8.525,101.696,212.4273
Pop,Luis Miguel,Solamente Una Vez,-7.93,165.855,179.98322
Pop,Luis Miguel,El Dia Que Me Quieras,-6.934,159.746,239.80363
Pop,Luis Miguel,La Ultima Noche,-3.991,97.173,229.04118
Pop,Luis Miguel,Que Sabes Tu,-6.35,102.35,288.88771
Pop,Luis Miguel,Todo Por Su Amor,-4.418,200.217,239.25506
Pop,Luis Miguel,Suena ("Some Day" end title song "The Hunchback of Notre Dame"),-5.95,156.836,256.13016
Pop,Luis Miguel,Nada Es Igual,-6.216,128.415,265.1424
Pop,Luis Miguel,Como Es Posible Que A Mi Lado,-5.085,115.172,256.1824
Pop,Luis Miguel,Santa Claus Llego A La Ciudad (Santa Claus Is Coming To Town),-3.023,85.223,115.90485
Pop,Luis Miguel,Mi Humilde Oracion (My Grown Up Christmas List),-6.816,115.671,196.62322
Pop,Luis Miguel,Va A Nevar (Let It Snow_ Let It Snow_ Let It Snow),-3.809,160.265,112.1171
Pop,Luis Miguel,Tu imaginacion [Long Remix],-5.061,127.963,476.96934
Pop,Luis Miguel,La Puerta,-13.503,164.34,199.26159
